Id_Articulo,Marca,Linea,Titulo,Ubicacion,2025-10,2025-11,2025-12,2026-01,totalSalidas,Stock,maximo,promedioAno,rotacion,noRotacion,,totalEntradas,2025-10int,2025-11int,2025-12int,2026-01int,enlace,costo
ACB-FUS-00033,FUSSION,ACCESORIOS PARA BAFLE,ETB-1810 TRIPIE PARA BAFLE FUSSION,C11,37,124,139,173,473,212,173,272.68,2.73,133.69,,0,0,0,0,0,https://articulo.mercadolibre.com.mx/MLM-1471464905-pedestal-tripie-stand-para-bafle-base-bocinas-profesional-_JM,$155.00
MEZ-WAH-00046,WAHRGENOMEN,MEZCLADORAS Y CONSOLAS GENERAL,Q12 INTERFAZ DE AUDIO USB PARA GRABACION DIGITAL,C05,64,120,200,54,438,123,200,152.15,2.19,166.66,,0,0,0,0,0,https://articulo.mercadolibre.com.mx/MLM-1971742207-interfaz-de-audio-interface-para-grabacion-instrumento-usb-_JM,$139.71
TWE-WAH-00014,WAHRGENOMEN,TWEETERS Y DRIVERS GENERAL,CT4401 DRIVER DE ROSCA 44MM LOUDER,C01,104,103,115,76,398,66,115,136.16,3.46,105.49,,0,0,0,0,0,https://articulo.mercadolibre.com.mx/MLM-660497835-tweeter-driver-agudos-titanium-44mm-1000w-line-array-bafle-_JM,$95.23
AMP-WAH-00002,WAHRGENOMEN,AMPLIFICADORES GENERAL,LMIX2NEGRO AMPLIFICADOR AMBIENTAL O PERIFONEO COMPACTO BT,C10,106,103,128,42,379,730,128,584.75,2.96,123.31,,0,0,0,0,0,https://articulo.mercadolibre.com.mx/MLM-709839253-amplificador-perifoneo-para-sonido-ambiental-o-usbsd-_JM,$217.43
BOC-WAH-00043,WAHRGENOMEN,BOCINAS GENERAL,W4PBLANCO SET 2 BAFLES AMBIENTALES 4 PULGADAS 3 VI,C14,105,131,88,40,364,232,131,139.42,2.77,131.76,,0,0,0,0,0,https://articulo.mercadolibre.com.mx/MLM-3547708552-par-bafles-ambientales-para-sonido-ambiental-bocinas-_JM,$340.05
BAF-WAH-00142,WAHRGENOMEN,BAFLES GENERAL,YSK-0204BK BAFLE AMBIENTAL 4 PULGADAS 20W 2 VIAS NEGRO 8 OHMS,C13,83,191,86,2,362,3,191,107.88,1.89,193.12,,0,0,0,0,0,https://articulo.mercadolibre.com.mx/MLM-3711973890-bocina-sonido-ambiental-exterior-interior-bafle-ambiental-color-negro-_JM,$98.51
CAB-WAH-00001,WAHRGENOMEN,CABLES,JXLR6 CABLE PARA MICROFONO O DMX 6 METROS REFORZADO,C01,43,51,163,80,337,63,163,119.93,2.06,177.18,,0,0,0,0,0,https://articulo.mercadolibre.com.mx/MLM-1900359443-cable-para-microfono-o-luces-dmx-canon-a-canon-6-metros-_JM,$40.63
BOC-WAH-00018,WAHRGENOMEN,BOCINAS GENERAL,LA1501 BOCINA PROFESIONAL 15 BOBINA 3 LOUDER,B03,39,120,137,39,335,18,137,98.02,2.44,149.59,,0,0,0,0,0,https://articulo.mercadolibre.com.mx/MLM-651791860-bocina-wah-15-pulgadas-profesional-alta-potencia-para-bafles-_JM,$298.36
BOC-WAH-00032,WAHRGENOMEN,BOCINAS GENERAL,LOUD4-8 BOCINA 4 LOUDER 10 OZ 1 IN VC 8 OHMS,Z2,38,103,134,42,317,99,134,128.22,2.36,154.66,,0,0,0,0,0,https://articulo.mercadolibre.com.mx/MLM-583819415-4-bocina-4-pulgadas-profesional-bafles-line-array-8-ohms-_JM,$201.69
BOC-WAH-00072,WAHRGENOMEN,BOCINAS GENERAL,"Y15700E4OHM BOCINA SUELTA ALTAVOZ 15"", 40 OZ, 2"" VC, 4 ohms ECONOMICA",X3,72,97,97,47,313,45,97,108.66,3.22,113.35,,0,0,0,0,0,https://articulo.mercadolibre.com.mx/MLM-955430923-bocina-15-pulgadas-4ohm-p-bafles-profesionales-1-pz-potente-_JM,$231.35
EST-WAH-00007,WAHRGENOMEN,ESTRUCTURAS PARA LUCES Y SONIDO,CL200 CLAMP 2 PULGADAS,B01,60,142,101,9,312,671,142,662.65,2.19,166.66,,0,0,0,0,0,https://articulo.mercadolibre.com.mx/MLM-722639389-clamp-hamburgesa-metal-2-pulg-para-luces-led-dj-estructura-_JM,$59.86
CAB-WAH-00004,WAHRGENOMEN,CABLES,JXLR100 METRO DE CABLE PARA MICROFONO O DMX POR ME,,74,111,68,46,299,19,111,64.8,2.69,135.68,,0,0,0,0,0,https://articulo.mercadolibre.com.mx/MLM-2309033026-rollo-de-cable-para-microfono-o-dmx-3-hilos-100m-_JM,$495.51
ANI-WAH-00007,WAHRGENOMEN,ARTICULOS DE ANIMACION,DT8BAT SET SWITCHG 8 BASES,X6,58,108,84,43,293,13,108,86.79,2.71,134.68,,0,0,0,0,0,https://articulo.mercadolibre.com.mx/MLM-1884722615-detonador-8-chisperos-pirotecnias-inalambrico-largo-alcance-_JM,$728.07
